route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
S4060,weekend,weekend_S4060_S406002_0,S406002,,0
S4060,weekend,weekend_S4060_S406002_1,S406002,,0
S4060,weekend,weekend_S4060_S406002_2,S406002,,0
S0100,weekday,weekday_S0100_S010002_0,S010002,,0
S0100,weekend,weekend_S0100_S010002_0,S010002,,0
S3040,weekday,weekday_S3040_S304002_0,S304002,,0
S3040,weekend,weekend_S3040_S304002_0,S304002,,0
S3040,weekend,weekend_S3040_S304002_1,S304002,,0
S1040,weekday,weekday_S1040_S104002_0,S104002,,0
S1040,weekday,weekday_S1040_S104002_1,S104002,,0
S1040,weekend,weekend_S1040_S104002_0,S104002,,0
S1040,weekend,weekend_S1040_S104002_1,S104002,,0
S1140,weekday,weekday_S1140_S114002_0,S114002,,0
S1140,weekday,weekday_S1140_S114002_1,S114002,,0
S1140,weekday,weekday_S1140_S114002_2,S114002,,0
S1140,weekday,weekday_S1140_S114002_3,S114002,,0
S1030,weekend,weekend_S1030_S103002_0,S103002,,0
S1140,weekend,weekend_S1140_S114002_0,S114002,,0
S1140,weekend,weekend_S1140_S114002_1,S114002,,0
S1140,weekend,weekend_S1140_S114002_2,S114002,,0
S1140,weekend,weekend_S1140_S114002_3,S114002,,0
S3020,weekday,weekday_S3020_S302002_0,S302002,,0
S3020,weekday,weekday_S3020_S302002_1,S302002,,0
S3020,weekday,weekday_S3020_S302002_2,S302002,,0
S3020,weekday,weekday_S3020_S302002_3,S302002,,0
S3020,weekday,weekday_S3020_S302002_4,S302002,,0
S3020,weekday,weekday_S3020_S302002_5,S302002,,0
S3020,weekday,weekday_S3020_S302002_6,S302002,,0
S3020,weekday,weekday_S3020_S302002_7,S302002,,0
S3020,weekday,weekday_S3020_S302002_8,S302002,,0
S3020,weekday,weekday_S3020_S302002_9,S302002,,0
S3020,weekday,weekday_S3020_S302002_10,S302002,,0
S3020,weekend,weekend_S3020_S302002_0,S302002,,0
S3020,weekend,weekend_S3020_S302002_1,S302002,,0
S3020,weekend,weekend_S3020_S302002_2,S302002,,0
S3020,weekend,weekend_S3020_S302002_3,S302002,,0
S3020,weekend,weekend_S3020_S302002_4,S302002,,0
S3020,weekend,weekend_S3020_S302002_5,S302002,,0
S3020,weekend,weekend_S3020_S302002_6,S302002,,0
S3020,weekend,weekend_S3020_S302002_7,S302002,,0
S3020,weekend,weekend_S3020_S302002_8,S302002,,0
S3020,weekend,weekend_S3020_S302002_9,S302002,,0
S3020,weekend,weekend_S3020_S302002_10,S302002,,0
S3040,weekday,weekday_S3040_S304002_1,S304002,,0
P0020,weekday,weekday_P0020_P002002_0,P002002,,0
P0020,weekday,weekday_P0020_P002002_1,P002002,,0
P0020,weekday,weekday_P0020_P002002_2,P002002,,0
P0020,weekend,weekend_P0020_P002002_0,P002002,,0
P0020,weekend,weekend_P0020_P002002_1,P002002,,0
P0020,weekend,weekend_P0020_P002002_2,P002002,,0
P0030,weekday,weekday_P0030_P003002_0,P003002,,0
P0030,weekday,weekday_P0030_P003002_1,P003002,,0
P0030,weekday,weekday_P0030_P003002_2,P003002,,0
P0030,weekend,weekend_P0030_P003002_0,P003002,,0
P0030,weekend,weekend_P0030_P003002_1,P003002,,0
P0030,weekend,weekend_P0030_P003002_2,P003002,,0
P0030,weekend,weekend_P0030_P003002_3,P003002,,0
P0040,weekday,weekday_P0040_P004002_0,P004002,,0
P0040,weekday,weekday_P0040_P004002_1,P004002,,0
P0050,weekday,weekday_P0050_P005002_0,P005002,,0
P0050,weekday,weekday_P0050_P005002_1,P005002,,0
P0050,weekday,weekday_P0050_P005002_2,P005002,,0
P0050,weekend,weekend_P0050_P005002_0,P005002,,0
P0050,weekend,weekend_P0050_P005002_1,P005002,,0
P0050,weekend,weekend_P0050_P005002_2,P005002,,0
P0050,weekend,weekend_P0050_P005002_3,P005002,,0
S4060,weekday,weekday_S4060_S406002_0,S406002,,0
S4060,weekday,weekday_S4060_S406002_1,S406002,,0
S4060,weekday,weekday_S4060_S406002_2,S406002,,0
S0030,weekend,weekend_S0030_S003002_0,S003002,,0
S0030,weekend,weekend_S0030_S003002_1,S003002,,0
S0030,weekend,weekend_S0030_S003002_2,S003002,,0
S0030,weekend,weekend_S0030_S003002_3,S003002,,0
S0030,weekend,weekend_S0030_S003002_4,S003002,,0
